ip,port,image_path
97.68.180.134,80,/axis-cgi/jpg/image.cgi
68.111.124.50,8082,/axis-cgi/jpg/image.cgi
169.229.156.203,80,/axis-cgi/jpg/image.cgi
129.21.154.80,80,/axis-cgi/jpg/image.cgi
71.224.158.141,50001,/SnapshotJPEG?Resolution
71.224.158.141,50000,/SnapshotJPEG?Resolution
174.96.214.126,81,/SnapshotJPEG?Resolution
67.210.124.70,80,NULL
24.249.194.70,80,NULL
50.83.19.161,8080,/axis-cgi/jpg/image.cgi
69.181.32.96,80,NULL
72.177.194.33,80,/axis-cgi/jpg/image.cgi
67.191.89.63,1028,/SnapshotJPEG?Resolution
97.64.145.6,80,/axis-cgi/jpg/image.cgi
66.169.225.169,5003,/SnapshotJPEG?Resolution
24.45.82.167,5000,NULL
24.45.82.167,5001,NULL
137.151.190.130,80,/axis-cgi/jpg/image.cgi
137.151.141.113,80,/axis-cgi/jpg/image.cgi
67.231.54.234,80,NULL
66.162.87.11,80,/axis-cgi/jpg/image.cgi
157.242.44.61,80,/axis-cgi/jpg/image.cgi
74.88.222.223,82,/SnapshotJPEG?Resolution
66.83.225.194,1121,NULL
129.107.67.5,80,/SnapshotJPEG?Resolution
98.238.63.190,8080,/axis-cgi/jpg/image.cgi
65.19.129.10,80,NULL
108.38.71.213,5000,/SnapshotJPEG?Resolution
71.101.232.201,80,NULL
71.193.42.191,80,/axis-cgi/jpg/image.cgi
96.56.93.114,2222,/axis-cgi/jpg/image.cgi
198.202.125.140,80,/axis-cgi/jpg/image.cgi
192.185.105.4,80,NULL
96.247.180.7,50000,/SnapshotJPEG?Resolution
50.192.26.107,19910,/axis-cgi/jpg/image.cgi
65.51.214.35,80,/axis-cgi/jpg/image.cgi
207.155.249.125,80,NULL
184.39.25.70,8000,NULL
98.230.9.118,50000,/SnapshotJPEG?Resolution
98.197.78.113,9000,/axis-cgi/jpg/image.cgi
173.164.168.246,80,/SnapshotJPEG?Resolution
